event_id,event_time,event_type,unit_id,model_id,shipment_id,sale_id,from_status,to_status,from_location_id,to_location_id,quantity,user_id,notes
E-000001,2025-09-23 10:10,UNIT_CREATED,U-000001,M-0001,S-0001,,,IN_REVIEW,,L-0005,1,USR-0001,Alta unidad por recepción
E-000002,2025-09-23 10:47,UNIT_CREATED,U-000002,M-0001,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000003,2025-09-23 10:48,UNIT_CREATED,U-000003,M-0001,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000004,2025-09-23 10:23,UNIT_CREATED,U-000004,M-0001,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000005,2025-09-23 10:12,UNIT_CREATED,U-000005,M-0001,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000006,2025-09-23 10:06,UNIT_CREATED,U-000006,M-0001,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000007,2025-09-23 10:32,UNIT_CREATED,U-000007,M-0001,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000008,2025-09-23 10:00,UNIT_CREATED,U-000008,M-0001,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000009,2025-09-23 10:56,UNIT_CREATED,U-000009,M-0001,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000010,2025-09-23 10:18,UNIT_CREATED,U-000010,M-0007,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000011,2025-09-23 10:06,UNIT_CREATED,U-000011,M-0007,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000012,2025-09-23 10:23,UNIT_CREATED,U-000012,M-0007,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000013,2025-09-23 10:55,UNIT_CREATED,U-000013,M-0007,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000014,2025-09-23 10:45,UNIT_CREATED,U-000014,M-0017,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000015,2025-09-23 10:35,UNIT_CREATED,U-000015,M-0017,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000016,2025-09-23 10:11,UNIT_CREATED,U-000016,M-0017,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000017,2025-09-23 10:17,UNIT_CREATED,U-000017,M-0017,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000018,2025-09-23 10:28,UNIT_CREATED,U-000018,M-0017,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000019,2025-09-23 10:48,UNIT_CREATED,U-000019,M-0017,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000020,2025-09-23 10:27,UNIT_CREATED,U-000020,M-0017,S-0001,,,AVAILABLE,,L-0004,1,USR-0001,Alta unidad por recepción
E-000021,2025-09-23 10:29,UNIT_CREATED,U-000021,M-0017,S-0001,,,IN_REVIEW,,L-0005,1,USR-0001,Alta unidad por recepción
E-000022,2025-09-23 10:00,UNIT_CREATED,U-000022,M-0017,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000023,2025-09-23 10:49,UNIT_CREATED,U-000023,M-0017,S-0001,,,AVAILABLE,,L-0002,1,USR-0001,Alta unidad por recepción
E-000024,2025-09-23 10:36,UNIT_CREATED,U-000024,M-0017,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
E-000025,2025-09-23 10:46,UNIT_CREATED,U-000025,M-0012,S-0001,,,AVAILABLE,,L-0003,1,USR-0001,Alta unidad por recepción
