unit_id,model_id,serial_number,label_code,condition_grade,condition_notes,shipment_id,arrival_date,cost_allocated,location_id,status,reserved_until,reserved_for_customer_id,created_at,updated_at
U-000001,M-0001,SN-M-0001-NG1T2L,LBL-NG1T2L,A,Perfecto / muy leve,S-0001,2025-09-23,"204,41",L-0005,IN_REVIEW,,,2025-09-23 10:51,2025-09-23 10:15
U-000002,M-0001,SN-M-0001-30ISMB,LBL-30ISMB,A,Perfecto / muy leve,S-0001,2025-09-23,"161,95",L-0004,AVAILABLE,,,2025-09-23 10:38,2025-09-23 10:22
U-000003,M-0001,SN-M-0001-Q798NH,LBL-Q798NH,A,Perfecto / muy leve,S-0001,2025-09-23,"155,35",L-0001,SOLD,,,2025-09-23 10:57,2025-11-23 12:26
U-000004,M-0001,SN-M-0001-4RX2DX,LBL-4RX2DX,C,Tara visible / revisar,S-0001,2025-09-23,"171,77",L-0001,SOLD,,,2025-09-23 10:56,2025-11-02 12:12
U-000005,M-0001,SN-M-0001-PWD8ZQ,LBL-PWD8ZQ,B,Leves marcas estéticas,S-0001,2025-09-23,"146,43",L-0002,RESERVED,2026-01-17,C-0004,2025-09-23 10:01,2025-09-23 10:09
U-000006,M-0001,SN-M-0001-VQXWVR,LBL-VQXWVR,C,Tara visible / revisar,S-0001,2025-09-23,"129,28",L-0001,SOLD,,,2025-09-23 10:00,2025-10-22 12:24
U-000007,M-0001,SN-M-0001-8XS7P5,LBL-8XS7P5,B,Leves marcas estéticas,S-0001,2025-09-23,"156,49",L-0003,AVAILABLE,,,2025-09-23 10:32,2025-09-23 10:15
U-000008,M-0001,SN-M-0001-1LT4C0,LBL-1LT4C0,C,Tara visible / revisar,S-0001,2025-09-23,"163,64",L-0001,SOLD,,,2025-09-23 10:26,2025-10-30 12:26
U-000009,M-0001,SN-M-0001-7STSAP,LBL-7STSAP,A,Perfecto / muy leve,S-0001,2025-09-23,"139,96",L-0001,SOLD,,,2025-09-23 10:09,2025-10-12 12:56
U-000010,M-0007,SN-M-0007-CYTR15,LBL-CYTR15,A,Perfecto / muy leve,S-0001,2025-09-23,"116,09",L-0002,AVAILABLE,,,2025-09-23 10:32,2025-09-23 10:28
U-000011,M-0007,SN-M-0007-U16PWS,LBL-U16PWS,B,Leves marcas estéticas,S-0001,2025-09-23,"146,08",L-0004,AVAILABLE,,,2025-09-23 10:51,2025-09-23 10:30
U-000012,M-0007,SN-M-0007-SIS577,LBL-SIS577,C,Tara visible / revisar,S-0001,2025-09-23,"99,25",L-0003,AVAILABLE,,,2025-09-23 10:07,2025-09-23 10:25
U-000013,M-0007,SN-M-0007-PCICY2,LBL-PCICY2,C,Tara visible / revisar,S-0001,2025-09-23,"96,8",L-0004,RESERVED,2026-01-17,C-0001,2025-09-23 10:23,2025-09-23 10:09
U-000014,M-0017,SN-M-0017-8H8OR9,LBL-8H8OR9,B,Leves marcas estéticas,S-0001,2025-09-23,"87,55",L-0001,SOLD,,,2025-09-23 10:25,2025-10-26 12:08
U-000015,M-0017,SN-M-0017-PMDNMQ,LBL-PMDNMQ,B,Leves marcas estéticas,S-0001,2025-09-23,"97,75",L-0003,RESERVED,2026-01-17,C-0001,2025-09-23 10:32,2025-09-23 10:04
U-000016,M-0017,SN-M-0017-E7I5DJ,LBL-E7I5DJ,C,Tara visible / revisar,S-0001,2025-09-23,"75,2",L-0001,SOLD,,,2025-09-23 10:54,2025-11-02 12:09
U-000017,M-0017,SN-M-0017-Y8OTSR,LBL-Y8OTSR,A,Perfecto / muy leve,S-0001,2025-09-23,"92,93",L-0001,SOLD,,,2025-09-23 10:27,2025-09-29 12:16
U-000018,M-0017,SN-M-0017-C7W2D4,LBL-C7W2D4,A,Perfecto / muy leve,S-0001,2025-09-23,"119,67",L-0001,SOLD,,,2025-09-23 10:35,2025-10-19 12:31
U-000019,M-0017,SN-M-0017-7JESID,LBL-7JESID,A,Perfecto / muy leve,S-0001,2025-09-23,"82,46",L-0001,SOLD,,,2025-09-23 10:40,2025-10-10 12:11
U-000020,M-0017,SN-M-0017-THQYJ2,LBL-THQYJ2,C,Tara visible / revisar,S-0001,2025-09-23,"69,57",L-0001,SOLD,,,2025-09-23 10:35,2025-11-06 12:25
U-000021,M-0017,SN-M-0017-SIQXXX,LBL-SIQXXX,B,Leves marcas estéticas,S-0001,2025-09-23,"120,85",L-0005,IN_REVIEW,,,2025-09-23 10:44,2025-09-23 10:13
